date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2018-07-31,2018-07-31,227659577649.0,3.2636,10.0971,0.03451,0.099038
2018-07-30,2018-07-30,220019611858.0,3.1541,9.7583,0.035709,0.102477
2018-07-27,2018-07-27,218993347796.0,3.1394,9.7127,0.035876,0.102957
2018-07-26,2018-07-26,217567981044.0,3.1189,9.6495,0.036111,0.103632
2018-07-25,2018-07-25,216598731653.0,3.105,9.6065,0.036273,0.104096
2018-07-24,2018-07-24,214945306220.0,3.0813,9.5332,0.036552,0.104896
2018-07-23,2018-07-23,212151587386.0,3.0413,9.4093,0.037033,0.106278
2018-07-20,2018-07-20,212835763427.0,3.0511,9.4396,0.036914,0.105936
2018-07-19,2018-07-19,213006807437.0,3.0536,9.4472,0.036884,0.105851
2018-07-18,2018-07-18,214717247540.0,3.0781,9.5231,0.036591,0.105008
2018-07-17,2018-07-17,214660232870.0,3.0773,9.5206,0.0366,0.105036
2018-07-16,2018-07-16,213120836777.0,3.0552,9.4523,0.036865,0.105794
2018-07-13,2018-07-13,213976056829.0,3.0674,9.4902,0.036717,0.105372
2018-07-12,2018-07-12,213919042159.0,3.0666,9.4877,0.036727,0.1054
2018-07-11,2018-07-11,212151587386.0,3.0413,9.4093,0.037033,0.106278
2018-07-10,2018-07-10,213405910128.0,3.0593,9.4649,0.036815,0.105653
2018-07-09,2018-07-09,211866514035.0,3.0372,9.3967,0.037083,0.106421
2018-07-06,2018-07-06,211581440685.0,3.0331,9.384,0.037133,0.106564
2018-07-05,2018-07-05,210213088603.0,3.0135,9.3233,0.037375,0.107258
2018-07-03,2018-07-03,207248325759.0,2.971,9.1918,0.037909,0.108792
2018-07-02,2018-07-02,207134296418.0,2.9694,9.1868,0.03793,0.108852
2018-06-29,2018-06-29,210498276902.0,3.0001,9.679,0.037982,0.103317
2018-06-28,2018-06-28,210962440688.0,3.0067,9.7003,0.037899,0.103089
2018-06-27,2018-06-27,210092133590.0,2.9943,9.6603,0.038056,0.103516
2018-06-26,2018-06-26,211078481635.0,3.0084,9.7057,0.037878,0.103033
2018-06-25,2018-06-25,211078481635.0,3.0084,9.7057,0.037878,0.103033
2018-06-22,2018-06-22,211832747787.0,3.0192,9.7403,0.037743,0.102666
2018-06-21,2018-06-21,210614317849.0,3.0018,9.6843,0.037962,0.10326
2018-06-20,2018-06-20,211542645421.0,3.015,9.727,0.037795,0.102807
2018-06-19,2018-06-19,210150154063.0,2.9952,9.663,0.038045,0.103488
2018-06-18,2018-06-18,209802031224.0,2.9902,9.647,0.038108,0.10366
2018-06-15,2018-06-15,210962440688.0,3.0067,9.7003,0.037899,0.103089
2018-06-14,2018-06-14,209802031224.0,2.9902,9.647,0.038108,0.10366
2018-06-13,2018-06-13,210150154063.0,2.9952,9.663,0.038045,0.103488
2018-06-12,2018-06-12,210614317849.0,3.0018,9.6843,0.037962,0.10326
2018-06-11,2018-06-11,210614317849.0,3.0018,9.6843,0.037962,0.10326
2018-06-08,2018-06-08,212761075359.0,3.0324,9.783,0.037578,0.102218
2018-06-07,2018-06-07,211716706840.0,3.0175,9.735,0.037764,0.102722
2018-06-06,2018-06-06,211078481635.0,3.0084,9.7057,0.037878,0.103033
2018-06-05,2018-06-05,211426604474.0,3.0134,9.7217,0.037816,0.102863
2018-06-04,2018-06-04,211484624947.0,3.0142,9.7243,0.037805,0.102835
2018-06-01,2018-06-01,210324215483.0,2.9977,9.671,0.038014,0.103402
2018-05-31,2018-05-31,208467560339.0,2.9712,9.5856,0.038352,0.104323
2018-05-30,2018-05-30,209163806018.0,2.9811,9.6176,0.038225,0.103976
