date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
23/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
24/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
25/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
28/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
29/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
30/03/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
31/03/2016,31/03/2016,24048000000,47106000000,47106000000,-0.02288,0.378619,1.76,66.9298,1.311,0.080586,-0.038356,4.765023,1.4264,0.074051,0.009617,-0.033836,5.95,35104000000,2.42381E+12,2.17365E+12,3.27947E+11,24048000000,24048000000,96549000000,-1.38264E+11,-1.38264E+11
01/04/2016,31/03/2016,24048000000,47106000000,47106000000,-0.02288,0.378619,1.76,66.9298,1.311,0.080586,-0.038356,4.765023,1.4264,0.074051,0.009617,-0.033836,5.95,35104000000,2.42381E+12,2.17365E+12,3.27947E+11,24048000000,24048000000,96549000000,-1.38264E+11,-1.38264E+11
04/04/2016,31/03/2016,24048000000,47106000000,47106000000,-0.02288,0.378619,1.76,66.9298,1.311,0.080586,-0.038356,4.765023,1.4264,0.074051,0.009617,-0.033836,5.95,35104000000,2.42381E+12,2.17365E+12,3.27947E+11,24048000000,24048000000,96549000000,-1.38264E+11,-1.38264E+11
05/04/2016,31/03/2016,24048000000,47106000000,47106000000,-0.02288,0.378619,1.76,66.9298,1.311,0.080586,-0.038356,4.765023,1.4264,0.074051,0.009617,-0.033836,5.95,35104000000,2.42381E+12,2.17365E+12,3.27947E+11,24048000000,24048000000,96549000000,-1.38264E+11,-1.38264E+11
06/04/2016,31/03/2016,24048000000,47106000000,47106000000,-0.02288,0.378619,1.76,66.9298,1.311,0.080586,-0.038356,4.765023,1.4264,0.074051,0.009617,-0.033836,5.95,35104000000,2.42381E+12,2.17365E+12,3.27947E+11,24048000000,24048000000,96549000000,-1.38264E+11,-1.38264E+11
07/04/2016,31/03/2016,24048000000,47106000000,47106000000,-0.02288,0.378619,1.76,66.9298,1.311,0.080586,-0.038356,4.765023,1.4264,0.074051,0.009617,-0.033836,5.95,35104000000,2.42381E+12,2.17365E+12,3.27947E+11,24048000000,24048000000,96549000000,-1.38264E+11,-1.38264E+11
08/04/2016,31/03/2016,24048000000,47106000000,47106000000,-0.02288,0.378619,1.76,66.9298,1.311,0.080586,-0.038356,4.765023,1.4264,0.074051,0.009617,-0.033836,5.95,35104000000,2.42381E+12,2.17365E+12,3.27947E+11,24048000000,24048000000,96549000000,-1.38264E+11,-1.38264E+11
